b1,tulanh,c01,3,7,3,4,3,2016-10-02 00:00:00,2016-10-02 00:00:00
b2,maygiat,c02,4,8,4,5,2,2016-12-02 00:00:00,2016-12-02 00:00:00
b1,tulanh,c03,5,5,2,3,1,2016-02-02 00:00:00,2016-03-02 00:00:00
b3,tivi,c05,2,6,3,4,1,2016-04-02 00:00:00,2016-04-02 00:00:00
b4,noicomdien,c01,1,10,1,2,2,2016-06-02 00:00:00,2016-06-02 00:00:00
b5,lovisong,c04,2,4,1,4,2,2016-08-02 00:00:00,2016-08-02 00:00:00
b3,tivi,c03,4,3,3,3,3,2016-10-02 00:00:00,2016-10-02 00:00:00
b2,maygiat,c02,3,6,2,1,4,2016-12-02 00:00:00,2016-02-14 00:00:00
b6,binhnaunuoc,c05,1,7,4,2,3,2016-02-02 00:00:00,2016-02-02 00:00:00
b5,lovisong,c06,2,9,2,5,2,2016-04-02 00:00:00,2016-04-02 00:00:00
